,formula,disorder
82638,Au2 Ba1 Ge2,S
82639,Co3.378 Fe0.405 La0.15 Sb12,M
82640,Mg3 N1 Sb1,O
82641,Cr2 Na1 O7 Rb1,O
82642,F12 Fe3 K4,O
82643,Hf1.2 Nb1.8 Sn1,S
82644,As7 Ba10.944 K1.056 O2,S
82645,Ge4 Se10 Tl4,O
82646,Cu2.7 Hf5 Sn1.3,S
82647,Co17 Er2,O
82648,B15 Gd2 K7 O30 Pb0.31 Zn0.69,S
82649,K2 Mn1 P2 S6,O
82650,Fe17 N2.56 Nd2,V
82651,Ga2 Ni6 Pr3,O
82652,Cu0.67 In2.01 Se3.6,V
82653,Fe0.2 La0.7 Mn0.8 O3 Sr0.3,S
82654,O4 Sn0.6 Ti0.15 Zn2 Zr0.25,S
82655,Cu1 Er1 Pb1,O
82656,Mn1.8 Sb1,V
82657,Ni1 Ti0.5 Zr0.5,S
82658,Ag1 In1 S1 Se1,S
82659,B8 Ce6 Mg1 Nb2 O26 S1,O
82660,F34 Pb8 Y6,V
82661,Al5 Cu7 Zr1,S
82662,O4 Pt1 Zn2,S
82663,Ni1 Te2,O
82664,Al6.7 Gd2 Mn10.3,S
82665,Mg1.67 Nb1.33 O5,S
82666,As11 Nb1 Sr13,V
82667,Al0.4 Fe1.6 Mg1 O4,S
82668,Ca0.75 Mg1.05 O6 Si2 Sr0.2,M
82669,Ba6 O30 Ta8 Ti2,S
82670,Bi0.693 Ca3.093 Mn3 O10,M
82671,Cu0.974 In1 Se1.989,V
82672,Ho1 In1.25 Ni0.75,S
82673,Al0.59 Eu0.25 N15.934 O0.066 Si11.41,M
82674,F0.667 Li2.668 Mg0.667 Nb0.667 O3.335,S
82675,La0.8 Ni1 O8 Ru1 Sr3.2,S
82676,Li4 Se4 Sn1,V
82677,Ga3 Pu1,O
82678,B2 Ru1 V1,S
82679,Ho0.6668 Ni2 O5.68 Sr3.3332,M
82680,Co2 Nd4 O22 Si4 Ti3,S
82681,As1 Mn1 N1 Th1,O
82682,Ni1 Pd1 Ti2,S
82683,Nb1 O6 Rb0.5 Te1 Tl0.5,M
82684,Ga1.6 Mn1 S4 Sc0.4,S
82685,Ge6 Os7 Sc4,O
82686,Al1 La5 O15 Ti3,S
82687,Al32.5 K32.5 O393.6 Si159.5,M
82688,Cu0.28 La1 Te2,V
82689,Ga5.07 La3 O14 Si0.93,S
82690,Mo0.52 Rh0.48,S
82691,Sn1 Sr1 Zn1,O
82692,Fe1.32 Ge7.46 Nd4,M
82693,B2 Fe2 Gd1,O
82694,Al1 Cs9 O4,O
82695,Al0.1 O4.9 Ta1.9,M
82696,Ca0.5 O3 Pb0.5 Ti1,S
82697,Br2 Fe2 O5 Sr3,O
82698,Cl0.96 N6.96 Nd4 O3.08 Si4,M
82699,Fe1 Mo2 Na1 O8,O
82700,Al2 Lu4 O9,O
82701,Br6 In2 Zr1,O
82702,Al2 Cl1 F25 Sr10,O
82703,As4 Mo5,O
82704,Ag1.86 In1.14 Li1,S
82705,Cu0.375 Nd1.625 O6.625 Ru2,M
82706,Co0.05 Li1 Ni0.95 O2,S
82707,Ga1 Yb2,O
82708,Br3 Si1 Tb3,O
82709,Cu1 F6 K2 Na1,O
82710,Br5 Cs3 Mn1,O
82711,K3 O21 Ta7 Zr1,S
82712,Hf21 Re25,O
82713,Al1 Eu0.04 O3 Y0.96,S
82714,Bi0.88 Fe1 O3 Y0.12,S
82715,B48 Li56 Ni48,O
82716,Cu0.89 In0.11,S
82717,Lu1 Ni4 Sn1,O
82718,Ce1 Mg2 Si2,O
82719,Eu4 Mg1 N5 Ta1,O
82720,C1 Er1 Rh3,O
82721,Ba0.78 Sn3 Sr0.22,S
82722,Ni1 Pr1,O
82723,Cr1 S2 Tl1,O
82724,Ba14 Li1 N6 Na14,O
82725,Bi1 Ce1 Pt1,O
82726,Hf0.012 O4 Si1 Zr0.988,S
82727,Nd12.82 Zn58.35,M
82728,As0.8 Cd0.2 Ga0.8 S0.2,S
82729,Al3 Cu1 Gd1,S
82730,Al1.66 Ca0.68 Na0.3 O8 Si2.34,M
82731,Ge1.84 La1,V
82732,B6 K0.7 N1 Na2.3 O13,S
82733,As2 Rh1,O
82734,C1 Mg23 Nd6,O
82735,Co0.5 Fe0.5 O2.88 Sr1,M
82736,Al3 Ge2 Ni1 Y3,O
82737,Bi0.93 Fe1 O3 Y0.07,S
82738,Cu1 La1.913 O4 Sr0.087,S
82739,Ga1 Mn3 N1,O
82740,Ho1 Ni2 P2,O
82741,Bi0.89 Fe1 O3 Sm0.11,S
82742,Ca0.98 Cu0.02 O3 Ti1,S
82743,Mn3 Rh1,O
82744,Gd3 Nb1 O4 S3,O
82745,Ge1 S4 Sr2,O
82746,  Al0.157 Ca2.915 Fe1.341 Mg0.158 Mn0.034 Na0.02 Nb0.002 O12 Si2.263 Ti1.054 Zr0.056,S
82747,Mn1 Se3 U1,O
82748,Bi0.75 Fe1 O3 Pr0.25,S
82749,Be1 Ca0.985 Ce0.075 F0.865 Na0.94 O6.135 Si2,S
82750,Eu1 Ir0.5 Pd1.5 Si2,S
82751,Nb2 Pd0.849 Se5,V
82752,Al0.6 Ga1.4 Gd1,S
82753,Cl8 Mo1 O1 P1,O
82754,Ag3 As11.596 Pb9.736 S40 Sb7.668,M
82755,B1 Co2 Dy0.5 Fe12 Pr1.5,S
82756,Pb1.2 Pd9 Tl1.8,S
82757,Li1 Mg0.25 O4 V1.75,S
82758,Ba6 Ga1 O30 Ta9,S
82759,B5 Cl1 O9 Sr2,O
82760,Co0.933 O2.672 Sr1 Ta0.067,M
82761,B1 Co4 Dy1,O
82762,Co1 Dy1 Ga1,O
82763,Cr3.5 Fe25.5 Ho3,S
82764,Cr1 Mn2 O9 Pb2,O
82765,Mn1 S4 Y2,S
82766,Li0.5 Ni0.25 O5 P1 Ti1,M
82767,Cr0.15 Ti0.8 V0.05,S
82768,Ca11 Sb10,O
82769,I1 Li6.32 P0.68 S5 Si0.32,M
82770,Cl6 Cs2 Ho0.75 Na1 Y0.25,S
82771,Al0.9114 F1.2658 O0.7342,M
82772,Cu2 La1.8 O5.86 Sr1.2,M
82773,Ni2 P2 Sr1,O
82774,Ge2 K1 Mn3 O9,V
82775,La0.53 Mg3 Y0.47,S
82776,Cu6 Fe1.2 S4,M
82777,As1.93 Fe0.05 Ni4.75 Sb0.02,M
82778,As2 Cr1 Cs1 O7,O
82779,K2 Mo1 O10 S2,O
82780,In1 K1 Se6 Si1.32 Sn0.68,S
82781,Cl1 Cu4 Na2 O9 P2,V
82782,As1 Ba2,O
82783,Br2 Co2 O3 Te1,O
82784,Dy0.6 Er0.4 Mn2,S
82785,La3 S7 Sn1.25,V
82786,In3.41 Ru13 Sc49.59,S
82787,Cd0.745 Cr1.94 In0.315 Se4,S
82788,Au5 Cs3.68 O2 Rb3.32,S
82789,Ca3 Ga2 Ge3 O12,O
82790,Ba7 Fe5 Ge2 O20,O
82791,Nb2 Pd0.915 Se5,V
82792,Ba1 In2 O6 Sr2,S
82793,Bi0.4 Co1 O2.64 Sr0.6,M
82794,As2 Hg1 K4,O
82795,Sb1.88 Si0.12 Zr1,S
82796,Ag0.79 Ga1 Li0.21 S2,S
82797,Al1 Pu3,S
82798,C3 Gd2.675 Ni21.325,S
82799,Ba1 Nb0.67 O3 Zn0.33,S
82800,Ge1.5 Ni0.5 Sm1,S
82801,Nb0.2 Ni0.1 O2 Sn0.7,S
82802,Fe0.829502 Ga0.169898 Tb0.0006,S
82803,C0.1 Pt3 U1,V
82804,C0.5 In1 Ni3,V
82805,Eu1 K2 Mo1 O8 P1,O
82806,Ce1 Rh1 Sb1,S
82807,Co0.15 Fe2.85 O4,V
82808,Co1 La0.85 O3 Sr0.15,S
82809,Ba7 Mn3 O20 Ti2 Y2,M
82810,Au2 Ho1 In1,O
82811,Gd1 Ge1 Hf0.15 Ti0.85,S
82812,U0.99 Zr2.01,S
82813,Bi3.2 O10 Sb0.8 V2,M
82814,Cr1.8 Ni1 S4 V0.2,S
82815,Fe1 N0.088,V
82816,B1 K3 S3,O
82817,K1.04 O4 Rb0.96 Se1,S
82818,La0.45 Mg2 Y0.55,S
82819,Cu0.33 In1.67 S3,M
82820,Cs3 O15 Si6 Y1,O
82821,Ga1 O4 Ta1,S
82822,As2 Cs1.73 O10 Rb0.27 Ti2,S
82823,Ca9.28 Co1.14 O28 P7,M
82824,Co12 Nb2 P7,O
82825,B1 Li1 O8 S2,O
82826,As1 Ge1,O
82827,K4 O6,O
82828,Cd1 In2 Se4,M
82829,Ag0.85 Li12 Si4,V
82830,Ce0.9 O1.95 Y0.1,M
82831,Bi0.25 In0.75 Te1,S
82832,Bi1.2 Eu0.3 Mg0.5 Na0.4 Nb1.5 O6.7,M
82833,Al4.36 Fe0.26 K0.69 Mg1.98 O30 Si10.4,M
82834,Bi2 I2 O11 Se1,O
82835,C1 B2 Ho1 Ni2,O
82836,Ba0.097 Mo1 O3 Sr0.9,S
82837,As4 Cl3 Nd5 O12,O
82838,Ti1 U1,S
82839,Al2 Bi2 Cl12,O
82840,Ga8 Rh3 Y3,O
82841,Mg3 Pt2,O
82842,I3 Rb1,O
82843,Nb1 P1 Rh1,O
82844,O5 Sb5 Tb9,O
82845,Cs1 Cu1 F6 Tl1,S
82846,Al3 Pd1 Y10,O
82847,O3 Pb0.99 Si0.01 Ti0.48 W0.02 Zr0.5,S
82848,Co4 Sb12 Sm0.026,V
82849,Ga2 Gd1 Ni3,S
82850,Br2 Cd1 I2 Rb2,O
82851,As0.99 F0.14 Fe1 O0.86 Sm1,M
82852,Na3 O11 Si4 V1,V
82853,B4 Ru4 Sm1,O
82854,Ni5 P2,V
82855,In7 Pd3,O
82856,Ca18 In25.07 Li5,V
82857,Ge2 Nd1 Rh1,O
82858,As1 Te1 Th1,O
82859,Cd0.45 O5 Pb0.55 V2,S
82860,Al1.714 Cu0.8 Mg0.486 O4,S
82861,Ag0.45 Ga1 Li0.55 S2,S
82862,Cs1 K5 O9 Ru2,O
82863,Gd2 O7 Ti1.96 Zr0.04,S
82864,Ag1 I1 O3,O
82865,Al1 Bi2 Fe1 O6,O
82866,Rb2 S8 Si3 Zn1,O
82867,Ce2 I2 Si2,O
82868,Al84 Co31,O
82869,Cl1 N1 U1,O
82870,Bi1 Na1 Te2,S
82871,F3 Pr1,V
82872,La1 Pt1,O
82873,Ge10 Os4 Tm2.82 Y2.18,S
82874,B2 Co4 Ni9 Y3,S
82875,Hg48 K29 Na1,O
82876,Al0.1 Li0.266 Mn1.9 O4,M
82877,C5 K3 N5 O1 V1,O
82878,Co1 Ho0.1 O2.51 Sr0.9,M
82879,Co2 K2 O12 S3,O
82880,O9 Pr2 W2,O
82881,Bi7.2 Pb1.8 Te12,S
82882,Bi6 Cl10 Pt1,O
82883,F6 Ga3 O6 Rb1 Se2,O
82884,Fe0.2 Li0.83 Mn0.8 O4 P1,M
82885,Co0.1 Fe0.9 K0.95 La1.05 Mo1 O6,S
82886,B2 Mo2 Ru1,O
82887,Bi0.5 La0.5 O4 V1,S
82888,Ge1 Mo1 Ni1,S
82889,K2 O6 S2 Se1,O
82890,Al3 Er0.8 Gd0.2,S
82891,K1 Nd1 Te2,O
82892,Fe2.9 O4,V
82893,O2 Th0.05 U0.95,S
82894,Be1 N6 O14,O
82895,Os3.32 Si0.68 U2,S
82896,Be1.65 Ga0.35 Ti1,S
82897,Gd0.8 Ge1 Sm0.2 Ti1,S
82898,Co1.05 Ni1.95 O8 P2,S
82899,Cr0.5 Mn0.5 Si1,S
82900,K1.316 Mg0.658 S4 Sn1.342,M
82901,La1 Li1 Sn2,O
82902,Al1 Fe1 U1,S
82903,In3 Pt2.108 Sc3,V
82904,Dy5 Pt3,O
82905,Ba0.94 Cu3 O7 Sm0.99 Sr1.06,M
82906,As2 Cd1 Sn1,S
82907,Ca5.04 Ge9 O33 Pb9.96,S
82908,B1 Eu2 I1 N2,O
82909,Ag0.81 Se2 Sn1.19,S
82910,Ba3 Lu1 O9 Ru2,O
82911,C1 Li2 O3,O
82912,Ce2 Ge6 Pd1,O
82913,O8 V4 Yb1,V
82914,Cu1 Ge6 La2,O
82915,F2 Pb1,O
82916,Cd1 Cu1.5 Mg1.5 O12 Pb0.5 V3,M
82917,C1 K2 N2,O
82918,Al0.445 Ca0.58 Fe0.155 Mg0.4 Na0.42 O6 Si2,S
82919,Au4.922 Gd1 Si1.123,M
82920,Ce1 O4 V1,O
82921,Ba8 Ga11.3 Si34.2,M
82922,Al1 F6 Li1 Sr1,O
82923,Ba1 Ga0.11 Si0.89,S
82924,Mg0.88 O1 Zn0.12,S
82925,Cl1 F1 O1 Pb2,S
82926,Al1 Sn1,O
82927,Fe0.95 Ni0.05 S1,S
82928,Ba1.92 Na0.97 Nb5 O15 Pr0.057,M
82929,Al2 F3 Na3 O8 P2,V
82930,Al1 Gd1 Si1,S
82931,Ag2 Cu2 Ge4 S16 Sr6,V
82932,Ca2.8 O6 Tl2.2,S
82933,As2 Cu2 U1,O
82934,Br2 Na4 O1,O
82935,Cs1 In1 O8 S2,O
82936,Ce6 Ga9 Rh15,O
82937,Ga2 Pb1 Se6 Si1,S
82938,I11 Nb6,O
82939,O8 P2 Rb3 Y1,O
82940,Sc0.1 Si1.5 Tb0.9,M
82941,Ge1.5 Ho1,V
82942,O0.9 V1,V
82943,C4 N4 Tl2 Zn1,O
82944,Cr1 Ge2,O
82945,Ba1 Ce0.2 O3 Pr0.8,S
82946,Al9.955 Ca1 Fe3.045 O19,S
82947,Ho2 S2 Te1.34,V
82948,In4 K14 O13,O
82949,Ga3.3 S14 Y6,V
82950,O2 Sn0.15 Ta0.3335 Ti0.35 Zn0.1665,S
82951,Cs1 Na1 Se1,O
82952,Lu2 Se3,V
82953,Gd0.25 In0.25 Mn0.5 S1.25,S
82954,Ge2 Ni3.33,V
82955,Ba2 Ca0.75 O6 Sr0.25 W1,S
82956,Ca2.9 Fe10.5 O20 Si0.6,S
82957,Na5 Ni1 O2 S1,O
82958,Br8 Mn7 O18 Sb10,O
82959,Cl1 Mo2 O7 Rb3,O
82960,Fe1 P4 Si4,O
82961,C18 In2 Mn4 O18,O
82962, Ca1.63 F3 Fe0.1 Mg0.41 Mn1.02 Na13.62 Nb0.51 O33 P4 Si4 Sr0.03 Ti2.42 Zr0.09,M
82963,Ag0.5 Cu3 Mo2.5 O12 V0.5,M
82964,Al0.4 Sn0.6 V3,S
82965,Cd1 Li4 S7 Sn2,O
82966,Li1 Mn1.9 O4 Ti0.1,S
82967,Co1.03 Fe1.56 O4 Sc0.41,S
82968,F2 Ni1,O
82969,Ag1 Dy1 Sb2,O
82970,Al92 O416 Pb64 Si100,M
82971,Bi6 Br1 K1 O9,O
82972,Hg6 O7 Si2,O
82973,Hg1 Pt1,O
82974,Ag1 I1 Te3,O
82975,B2 Dy1 Fe2,O
82976,Co1 Sb3 Sm1,O
82977,Cu2 Fe1 O6.808 Sr2 Y1,M
82978,Li2 Pd1 Sn1,S
82979,Al1 Au1 Yb1,O
82980,Al34.9 K34.9 O390.8 Si157.1,M
82981,La5 O1 Pb3,V
82982,Gd0.2 Pr0.8 Zn1,S
82983,C1 Pd3 Sn1,O
82984,N3 Na3 W1,O
82985,Ba1 Co1 O2.22,V
82986,Ag1 As2 Pb1 S5 Tl1,S
82987,Co1 O2.77 Sr0.9 Y0.1,M
82988,As2 Ce1 K3 O8,O
82989,B10 Er4 Ni29,M
82990,Ba0.6 Cs0.4 Fe2 Se3,S
82991,Co0.5 F0.5 Fe0.5 O2.5 Sr1,S
82992,Mg2 O4 Pt1,S
82993,Ce4 Pd29 Si14,M
82994,Cr3 Si1 Zr2,S
82995,Co1 Na6 Se4,O
82996,Co0.7 Ir0.3,S
82997,Al0.25 Mn0.75,S
82998,B3 Ca5 F1 O9,O
82999,Ge2 Rh2 Y1,O
83000,Mg0.2 N2 O6 Si2 Sr3.8,V
83001,Cu0.46 Nb6 S2.54,S
83002,Al2 Cu3 Gd1,S
83003,Li0.5 Mn1.5 O4 Zn1,S
83004,Cu2.75 Ni0.25 O8 Pb2 Sr2 Y1,M
83005,Li6.6 O8 P1 Si1,M
83006,Cu36.7 Ga14.3 Sc14,M
83007,C4 F12 Ge4 Se6,O
83008,Ba14 Ge78,O
83009,N1 Na2.47 O9 P3 Ti1,V
83010,Li1.5 Mn0.97 O2,V
83011,K1 Nb1 O8 P2,O
83012,Au1.89 Te2.95,V
83013,As2 Eu0.87 Fe1 La0.13,M
83014,Ce3 Ga10 Ni1,O
83015,Ba0.3 O8 P2 Sr0.7 Zr1,S
83016,Er1 K3 O8 V2,O
83017,Ca0.159 Ce0.956 Na3 O17 Si6 Sr0.885 Zn0.962,M
83018,Ca1 O6 Sb2,O
83019,As3 Ca5 F0.75 O12 Pb0.16,M
83020,Si3 Yb1,O
83021,Pr0.9 Sn3 Y0.1,S
83022,Ba6 Ga7 K1 O21 Zn4,S
83023,Ge1 S8 V4,O
83024,C10 Fe2 O10 Te2 W1,O
83025,Mo1 O4 Y1,O
83026,Eu6 Mo12 O45,O
83027,As2 Co0.5 Ni0.5,S
83028,B0.2 Dy1 Fe1.8,S
83029,Fe1.8 Mg1.1 O4 Sn0.1,S
83030,K2 Nb14 O36,O
83031,Bi2 Dy1 Ni0.77,V
83032,C1 In1 Ti3,O
83033,Ca0.26 La0.74 Mn1 O3,S
83034,Ce1.332 Gd1.335 S4,M
83035,Ga3 Ti1,O
83036,Fe1 Ni1 P2 S6,S
83037,Ba0.3 Co1 O3 Sr0.7,S
83038,Ho2 Re3 Si5,O
83039,Ge1 Sb1 Ti1,O
83040,Cu0.12 S8 Zn3.88,S
83041,Co0.2 Fe2 Ni0.5 O4 Zn0.3,S
83042,Al22.33 Mg0.66 O36 Sr1.91,M
83043,Ca0.1 Mn1 Nd0.2 O3 Sr0.7,S
83044,Al1.58 Nb1 Ni0.42,S
83045,  Ba0.14 Ca0.3 Cr3.1 Fe2.15 K0.62 Mg1.33 Na0.14 Nb0.23 O38 Sr0.1 Ti12.9 V0.23 Zr0.7,M
83046,Rh2 Th1,O
83047,Li0.81 Mg0.19,S
83048,Co2 Zn20 Zr1,O
83049,Li2 Rb4 Sn8,O
83050,Ca1 Nb2 O11 P2,O
83051,As2 Ga1 K2,O
83052,La0.8 Mn1 Na0.1 O3,M
83053,Al1 B8 K3 O15,O
83054,Ce1 In1 Ni5,O
83055,Al1.33 Eu0.44 Li5.11 N1.78 Na1.56 O6.22 Si1.56,S
83056,Cs8 Ga11,O
83057,Ca9.66 Cl2 Na0.17 O24 P6 Sm0.17,M
83058,Nb1 O12 P3 Sn0.523 Ti1,M
83059,Mo3 Nd4 O16 Sm1,S
83060,Ag4 B4 I2 O7,O
83061,Al11.62 Ca1 Mn0.38 O19,M
83062,As11 Rb3,O
83063,Al43 Mo4 Tb6,O
83064,Al20.526 Ce1 Mo1.474,S
83065,Ca0.31 Fe2 Mg1 Na0.38 O12 P3,V
83066,Ag8 Se6 Sn1,V
83067,As1 Cl13 Nb1 P1,O
83068,Ca1 Cu0.95 Ga0.05,S
83069,In1 Pr3 S6,O
83070,Ca5 Ga6 O14,O
83071,Be1 Cl15 K3 Zr6,V
83072,Au3 Mg1,O
83073,Cd0.95 Cr2 Cu0.05 S4,S
83074,Co6 Ho5 Sn18,O
83075,Cu1 Ho3.33 Pb1.5 Se7,M
83076,Br3 Hg8 O4,O
83077,La0.2 O7 Ti2 Y1.8,S
83078,Al2 Co0.15 Mg0.85 O4,S
83079,Cr1 O4 Sb1,S
83080,K2 O8 P2 Th1,O
83081,Ba0.25 O3 Sr0.75 Tc1,S
83082,B9 Ni15 Tm2,O
83083,Ba1 S4 Yb2,O
83084,Ca10.59 Ce0.41 Sb9.67,M
83085,Al1.763 Fe0.238 Mg0.851 O4 Zn0.148,S
83086,F1 O2 Rb1 S1,M
83087,Fe12 P7 Yb2,O
83088,Be13 Ca1,O
83089,Cu2 Mn1 O2 S2 Sr2,O
83090,Br3 Hg3 Sb2 Tl1,O
83091,B4 Fe2.5 W3.5,S
83092,Co1 Cs2 O12 Si5,O
83093,F3 K1 Pd1,O
83094,Cu4 Pd1 Th0.2 U0.8,S
83095,Na3 O4 P1,V
83096,Dy1.6 Er0.4 O3,S
83097,Li2.96 O12 P3 Sc1.8 Zr0.2,M
83098,Bi1 Co1 Zr1,O
83099,Gd0.5 O4 P1 Tb0.5,S
83100,Ge0.416 Li3.55 O4 Si0.12 V0.464,M
83101, Al0.724 Cr1.153 Fe0.647 Mg0.431 Mn0.007 Ni0.004 O4 Ti0.022 V0.012,S
83102,Ca1 La2 Li6 O12 Sb2,M
83103,Cr1 Fe16 Sm2,S
83104,Cr2 Fe0.91 Mg0.09 O4,S
83105,Ba0.2 Ce0.66 Cu2.5 Eu1.67 O12 Ru0.5 Sr1.47,S
83106,Mo1 Pt2 Si3,O
83107,Bi0.8 Mn0.6 Nb0.6 O3.4875,M
83108,N1 U1,O
83109,C3 La2 Ni22,O
83110,Cs3 I5 Zn1,O
83111,Al1 Co0.5 Ru0.5,S
83112,Ag1 Al1 F6 K2,O
83113,Ag2 Al12 I3 K13 O48 Si12,M
83114,K3 Nb6 O19 V1,O
83115,Co0.7 Ni1.3 U1,S
83116,Dy0.5 Fe2 Y0.5,S
83117,Ca0.833 Zn2.499,M
83118,Al0.985 Ca0.839 Fe3.176 O7,S
83119,Al1 Ni1 Tb1,S
83120,Ba4 Bi1 Ir3 O12,O
83121,Cr0.11 O5.16 V2,V
83122,Lu2 O3,O
83123,Co2 Mn5 Si3,S
83124,F2 O24 P6 Pb3 Sr7,M
83125,Rb4 Se6 Sn2,O
83126,Cu0.5 Ge2 Ni1.5 U1,S
83127,Ca1 Ga0.85 In0.15,S
83128,Co2 Mn0.4 O4 Ti0.6,S
83129,Ba3 O4.8 V1,V
83130,La2 Li6 O12 Sb2 Sr1,M
83131,Ga2 Sr1 Te4,V
83132,B3 Li1 O9 Sr4,O
83133,Ca4 Mg12.75 Zn29.25,S
83134,Ba1 Co0.7 Ir0.3 O3,S
83135,Ba1 Fe0.95 O2.78 Ti0.05,M
83136,Ba1 F1 O3 P1,O
83137,Ba1 Ce0.7 In0.3 O3,S
83138,Cr2 Fe0.37 Mg0.63 O4,S
83139,I11.07 S0.93 Ta4.11,M
83140,La1 Mg1,O
83141,Al1.86 Ca3 Fe0.14 O12 Si3,S
83142,Bi1 Br0.5 Cl0.5 O1,S
83143,I3 La5 Si5,O
83144,Al56.61 Ge2.39 Mn14,S
83145,Ca0.333 La0.667 O3 Ti0.667 Zn0.333,S
83146,Ag2.545 Al22 O33.914,V
83147,Al7.9 N8.1 O1.9 Si1.1,M
83148,O2.9 W1,O
83149,Ag1 I1 Se3,O
83150,As0.5 K1 O5 P0.5 Ti1,S
83151,Am0.666 Mo1 O4,V
83152,B2 Rh3 Tm1,O
83153,Cr0.63 La1 Ni0.37 O2.84,M
83154,Nb1 O7 Sc3,M
83155,La3 O7 Sb1,O
83156,Ba1 Ce0.3 In0.7 O2.68,M
83157,As1.821 Cl1 O12 P1.179 Pb5,S
83158,O3 Pb1 Ti0.46 Zr0.54,V
83159,Ag1 Cr1 S2 Se2 Sn1,S
83160,C2 Ba0.741 O4 Sr0.259,S
83161,Al0.12 F1.96 Pb0.88,M
83162,Er1 Fe1 Ni4,S
83163,Eu0.02 Mn0.15 Na0.98 O6 Sc0.85 Si2,S
83164,B2 Dy1 Ru1,O
83165,Ce1 Ni0.85 Pd0.15 Sn1,S
83166,C26 Dy15 Fe8,O
83167,Er2 Fe1 Si4,V
83168,Ga0.13 In2.53 S4,M
83169,Al2 Ca0.67 N15.3 O0.7 Si10,M
83170,Co1 Si1 Ti1,O
83171,Li0.16 Na0.84 Nb0.9 O3 Ta0.1,S
83172,Fe1.25 La0.75 O3,S
83173,Ga5 Yb1,V
83174,Ge13 Pr3 Pt4,O
83175,Ba1 Ge5,V
83176,Fe17 N2.49 Nd2,V
83177,B1 Eu1 Pd3,O
83178,Mn0.29 Se1 Zn0.71,S
83179,Cl3 Nd5 O23 Te7 W1,V
83180,Mn0.2 S1 Zn0.8,S
83181,As0.26 In1.72 S3,V
83182,Co0.2 Fe0.6 La0.4 O2.7 Sr0.6 Zr0.2,M
83183,Al0.9 Si0.1,S
83184,B4 Eu2 Rh5,O
83185,Al2 Cl8 Se8,O
83186,Al1 Ge1 Mn1,O
83187,Gd1.41 Hf3.59 Si4,S
83188,Al1 O4 Pr1 Sr1,S
83189,Eu2 Na4 P4 Si1,S
83190,Cs3 Gd7 Se12,V
83191,Fe28.1 Mo0.9 Sm3,S
83192,Fe1 Li1 Na2 O6 Te1,V
83193,Br15 Cs2 La1 O3 Ta6,O
83194,As17 Ge5 In8 K8,O
83195,Ba0.93 Ca1.97 Eu0.1 Mg1 O8 Si2,S
83196,Ba3.75 Nb10 O30 Sm0.4165 Y0.4165,M
83197,Cl8 Co1 Li6,O
83198,B2 Mn0.64 Mo0.36,S
83199,K4 P2 Pd1 S8,O
83200,Np0.29 O12 P3 Zr2,V
83201,As2 Co2 Pr1,O
83202,Ag3 Bi1 S6 Sb2,S
83203,O7 Se2 Tb2,O
83204,B13 Ni1 Tm4,O
83205,Dy4 Ga12 Ni1,O
83206,Fe0.96 Mo0.04,S
83207,B8 Mg1 O26 Se1 Sm6 Ta2,O
83208,Ba0.06 Co1 La0.94 O3,S
83209,Al5.33 Ba1.33 O16 Sb2.66,O
83210,Co2.42 Zn2.58,S
83211,Mg6.6 Y7.6 Zn21.8,S
83212,Mg1 Sn1 Yb1,O
83213,Cu3 Ge1 Li2,S
83214,Na1 Nb1 O3,O
83215,Fe1.56 Hf1 Sn0.43,S
83216,Bi1 Fe0.97 O3 Sc0.03,S
83217,Ga2 Mn1 Te4,S
83218,O4 Pb1 Pt2,O
83219,Ga0.5 La1 Mn0.5 O3,S
83220,La2.5 N11 Si6 Y0.5,S
83221,Cd0.5 Cu0.25 In0.25 Te1,S
83222,Al0.167 Co3.5 Ti0.333,S
83223,Al41.69 Fe1.3 Gd6 W4,S
83224,Ga0.82 Mn0.08 Nb3.1,S
83225,Co1 Ga5 Gd1,O
83226,Cd0.25 Hg0.25 Mn0.5 Te1,S
83227,Co1 Ge1 Mg1,O
83228,Ba1.375 Bi1 Lu1 O6 Sr0.625,S
83229,O8 Rb1 V3,O
83230,Se0.804 Ti1.2,S
83231,Cu1 Rh2 Sn1,O
83232,B2 Ru1 Ta2,O
83233,B1 Ba3 Br3 O3,O
83234,Bi0.91 Cl1 Dy0.09 O1,S
83235,Cu0.8 O1 Pt0.2,S
83236,O16 V13,O
83237,Bi0.26 Cu2.74 O7.5 Sr2 Y1,M
83238,Ag2 Ce1 Ge2,O
83239,Rh0.98 Te2,V
83240,Li6.996 Nb2.082 O21 Ti5.91,M
83241,Cl13 P1 Re2,O
83242,Ce0.45 Y0.55,S
83243,O4 Si1 Sm2 Te1,O
83244,Cs1 F6 Ga1 Ni1,S
83245,Co0.55 Cr2 Cu0.45 S3 Se1,S
83246,O4 Sn0.375 Ti0.375 Zn2 Zr0.25,S
83247,C16 Co2 Cr1 O16 P2 W1,S
83248,Au7.11 Ba2 Zn1.89,S
83249,Dy1.2 Er0.8 O3,S
83250,Br1.8 O8.1 Pb6.3 W0.9,M
83251,Mg0.21 Pt1 Yb1.79,S
83252,Ca1 Mn1 O2.95,V
83253,Ga13 Nb5,O
83254,P1 Ru1 S1,O
83255,Ba0.5 Mn1 O2.77 Sr0.5,M
83256,As1.958 Ce1 Pd1.758,V
83257,Ca7 N9 Nb1 Si2,O
83258,Mn1 Na2 O7 P2,O
83259,Mn0.912 O2.546 Sm0.592 Sr0.408 Ti0.133,M
83260,Ge12 Ni19,O
83261,Cd2 P2 S6,O
